"","participant","slide","CHOL","confidence","asst_pred","unasst_pred","gt","name","type"
"121","P11Test1_02072019","slide7.2",0.002757549,0.997242451,1,1,1,"Pathologist NOC 1","Pathologist NOC"
"122","P11Test1_02072019","slide7.3",0.537141532,0.462858468,0,0,0,"Pathologist NOC 1","Pathologist NOC"
"123","P11Test1_02072019","slide7.4",0.019940794,0.980059206,1,1,1,"Pathologist NOC 1","Pathologist NOC"
"124","P11Test1_02072019","slide7.5",0.198519289,0.801480711,1,1,1,"Pathologist NOC 1","Pathologist NOC"
"125","P11Test1_02072019","slide7.6",0.085512459,0.914487541,0,0,0,"Pathologist NOC 1","Pathologist NOC"
"126","P11Test1_02072019","slide7.7",0.725639701,0.274360299,1,1,1,"Pathologist NOC 1","Pathologist NOC"
"127","P11Test1_02072019","slide7.8",0.545563847,0.454436153,0,0,0,"Pathologist NOC 1","Pathologist NOC"
"128","P11Test1_02072019","slide7.9",0.289099813,0.710900187,1,0,0,"Pathologist NOC 1","Pathologist NOC"
"129","P2Test1_11302019","slide0.1",0.064760745,0.935239255,NA,NA,NA,"Trainee 1","Trainee"
"130","P2Test1_11302019","slide0.2",0.68285052,0.31714948,NA,NA,NA,"Trainee 1","Trainee"
"131","P2Test1_11302019","slide0.3",0.701649517,0.298350483,NA,NA,NA,"Trainee 1","Trainee"
"132","P2Test1_11302019","slide0.4",0.95084203,0.04915797,NA,NA,NA,"Trainee 1","Trainee"
"133","P2Test1_11302019","slide1.1",0.993918317,0.006081683,0,0,0,"Trainee 1","Trainee"
"134","P2Test1_11302019","slide1.10",0.934495613,0.065504387,0,1,0,"Trainee 1","Trainee"
"135","P2Test1_11302019","slide1.2",0.989459785,0.010540215,0,1,1,"Trainee 1","Trainee"
"136","P2Test1_11302019","slide1.3",0.119084358,0.880915642,1,1,0,"Trainee 1","Trainee"
"137","P2Test1_11302019","slide1.4",0.585422542,0.414577458,1,1,1,"Trainee 1","Trainee"
"138","P2Test1_11302019","slide1.5",0.308760047,0.691239953,1,0,1,"Trainee 1","Trainee"
"139","P2Test1_11302019","slide1.6",0.988727603,0.011272397,0,0,0,"Trainee 1","Trainee"
"140","P2Test1_11302019","slide1.7",0.977601795,0.022398205,0,0,1,"Trainee 1","Trainee"
"141","P2Test1_11302019","slide1.8",0.088758588,0.911241412,1,0,1,"Trainee 1","Trainee"
"142","P2Test1_11302019","slide1.9",0.376693152,0.623306848,1,0,1,"Trainee 1","Trainee"
"143","P2Test1_11302019","slide3.1",0.373221241,0.626778759,1,0,0,"Trainee 1","Trainee"
"144","P2Test1_11302019","slide3.10",0.681878716,0.318121284,0,1,0,"Trainee 1","Trainee"
"145","P2Test1_11302019","slide3.2",0.932032719,0.067967281,0,0,0,"Trainee 1","Trainee"
"146","P2Test1_11302019","slide3.3",0.884148587,0.115851413,0,0,0,"Trainee 1","Trainee"
"147","P2Test1_11302019","slide3.4",0.493837904,0.506162096,1,1,1,"Trainee 1","Trainee"
"148","P2Test1_11302019","slide3.5",0.334137142,0.665862858,1,1,1,"Trainee 1","Trainee"
"149","P2Test1_11302019","slide3.6",0.840700331,0.159299669,0,1,1,"Trainee 1","Trainee"
"150","P2Test1_11302019","slide3.7",0.518039465,0.481960535,0,0,0,"Trainee 1","Trainee"
"151","P2Test1_11302019","slide3.8",0.681244627,0.318755373,1,1,0,"Trainee 1","Trainee"
"152","P2Test1_11302019","slide3.9",0.881344444,0.118655556,0,0,0,"Trainee 1","Trainee"
"153","P2Test1_11302019","slide5.1",0.251487315,0.748512685,1,0,0,"Trainee 1","Trainee"
"154","P2Test1_11302019","slide5.10",0.599684417,0.400315583,1,0,0,"Trainee 1","Trainee"
"155","P2Test1_11302019","slide5.2",0.410463095,0.589536905,1,0,0,"Trainee 1","Trainee"
"156","P2Test1_11302019","slide5.3",0.000569761,0.999430239,1,1,1,"Trainee 1","Trainee"
"157","P2Test1_11302019","slide5.4",0.012537102,0.987462898,1,1,1,"Trainee 1","Trainee"
"158","P2Test1_11302019","slide5.5",0.061843574,0.938156426,1,1,1,"Trainee 1","Trainee"
"159","P2Test1_11302019","slide5.6",0.071304172,0.928695828,1,1,1,"Trainee 1","Trainee"
"160","P2Test1_11302019","slide5.7",0.772952098,0.227047902,0,1,0,"Trainee 1","Trainee"
"161","P2Test1_11302019","slide5.8",0.04854545,0.95145455,1,1,1,"Trainee 1","Trainee"
"162","P2Test1_11302019","slide5.9",0.054040611,0.945959389,1,1,1,"Trainee 1","Trainee"
"163","P2Test1_11302019","slide7.1",0.980210409,0.019789591,0,1,0,"Trainee 1","Trainee"
"164","P2Test1_11302019","slide7.10",0.637906154,0.362093846,0,1,0,"Trainee 1","Trainee"
"165","P2Test1_11302019","slide7.2",0.000562727,0.999437273,1,1,1,"Trainee 1","Trainee"
"166","P2Test1_11302019","slide7.3",0.816140279,0.183859721,0,0,0,"Trainee 1","Trainee"
"167","P2Test1_11302019","slide7.4",0.053558826,0.946441174,1,1,1,"Trainee 1","Trainee"
"168","P2Test1_11302019","slide7.5",0.093179822,0.906820178,1,1,1,"Trainee 1","Trainee"
"169","P2Test1_11302019","slide7.6",0.357477248,0.642522752,1,1,0,"Trainee 1","Trainee"
"170","P2Test1_11302019","slide7.7",0.971163025,0.028836975,0,0,1,"Trainee 1","Trainee"
"171","P2Test1_11302019","slide7.8",0.00485611,0.99514389,1,1,0,"Trainee 1","Trainee"
"172","P2Test1_11302019","slide7.9",0.309646088,0.690353912,0,0,0,"Trainee 1","Trainee"
"173","P3Test2_11312019","slide0.1",0.188566923,0.811433077,NA,NA,NA,"Pathologist NOC 2","Pathologist NOC"
"174","P3Test2_11312019","slide0.2",0.986054719,0.013945281,NA,NA,NA,"Pathologist NOC 2","Pathologist NOC"
"175","P3Test2_11312019","slide2.1",0.033207417,0.966792583,1,1,1,"Pathologist NOC 2","Pathologist NOC"
"176","P3Test2_11312019","slide2.10",0.927537076,0.072462924,0,0,0,"Pathologist NOC 2","Pathologist NOC"
"177","P3Test2_11312019","slide2.2",0.942981824,0.057018176,0,0,0,"Pathologist NOC 2","Pathologist NOC"
"178","P3Test2_11312019","slide2.3",0.903956339,0.096043661,0,0,0,"Pathologist NOC 2","Pathologist NOC"
"179","P3Test2_11312019","slide2.4",0.733840873,0.266159127,0,1,1,"Pathologist NOC 2","Pathologist NOC"
"180","P3Test2_11312019","slide2.5",0.992241186,0.007758814,0,0,0,"Pathologist NOC 2","Pathologist NOC"
"181","P3Test2_11312019","slide2.6",0.971927501,0.028072499,0,0,0,"Pathologist NOC 2","Pathologist NOC"
"182","P3Test2_11312019","slide2.7",0.055862188,0.944137812,1,1,1,"Pathologist NOC 2","Pathologist NOC"
"183","P3Test2_11312019","slide2.8",0.00188303,0.99811697,1,1,1,"Pathologist NOC 2","Pathologist NOC"
"184","P3Test2_11312019","slide2.9",0.000968695,0.999031305,1,1,1,"Pathologist NOC 2","Pathologist NOC"
"185","P3Test2_11312019","slide4.1",0.063735247,0.936264753,1,1,1,"Pathologist NOC 2","Pathologist NOC"
"186","P3Test2_11312019","slide4.10",0.607615016,0.392384984,0,0,0,"Pathologist NOC 2","Pathologist NOC"
"187","P3Test2_11312019","slide4.2",0.036853433,0.963146567,1,1,1,"Pathologist NOC 2","Pathologist NOC"
"188","P3Test2_11312019","slide4.3",0.103636563,0.896363437,1,1,1,"Pathologist NOC 2","Pathologist NOC"
"189","P3Test2_11312019","slide4.4",0.939035565,0.060964435,0,0,0,"Pathologist NOC 2","Pathologist NOC"
"190","P3Test2_11312019","slide4.5",0.00319165,0.99680835,1,1,1,"Pathologist NOC 2","Pathologist NOC"
"191","P3Test2_11312019","slide4.6",0.674686357,0.325313643,0,1,1,"Pathologist NOC 2","Pathologist NOC"
"192","P3Test2_11312019","slide4.7",0.001072228,0.998927772,1,1,1,"Pathologist NOC 2","Pathologist NOC"
"193","P3Test2_11312019","slide4.8",0.987616087,0.012383913,0,0,0,"Pathologist NOC 2","Pathologist NOC"
"194","P3Test2_11312019","slide4.9",0.651710737,0.348289263,0,0,0,"Pathologist NOC 2","Pathologist NOC"
"195","P3Test2_11312019","slide6.1",0.026399583,0.973600417,1,1,1,"Pathologist NOC 2","Pathologist NOC"
"196","P3Test2_11312019","slide6.10",0.292410463,0.707589537,1,1,1,"Pathologist NOC 2","Pathologist NOC"
"197","P3Test2_11312019","slide6.2",0.020469069,0.979530931,1,1,1,"Pathologist NOC 2","Pathologist NOC"
"198","P3Test2_11312019","slide6.3",0.046734929,0.953265071,1,1,1,"Pathologist NOC 2","Pathologist NOC"
"199","P3Test2_11312019","slide6.4",0.515909865,0.484090135,0,0,0,"Pathologist NOC 2","Pathologist NOC"
