participant,slide,order,grade,probCC,probHCC,diag,gt,name,type,mode,accuracy,errortype,errormodel
P7Test2_02252019,slide4.1,0,2,0.000003099999958,0.9999969006,1,1,GI Specialist 2,1,0,1,0,0
P5Test2_02212019,slide4.2,0,2,0.000003339999921,0.9999966621,1,1,Trainee 1,3,1,1,0,0
P5Test2_02212019,slide4.2,0,2,0.000003339999921,0.9999966621,1,1,Trainee 1,3,0,1,0,0
P3Test1_02212019,slide5.3,1,2,0.000003809999953,0.9999961853,1,1,None-GI Specialist 3,4,1,1,0,0
P3Test1_02212019,slide5.3,1,2,0.000003809999953,0.9999961853,1,1,None-GI Specialist 3,4,0,1,0,0
P7Test2_02252019,slide8.9,0,2,0.000003929999821,0.9999960661,1,1,GI Specialist 2,1,1,1,0,0
P7Test2_02252019,slide8.9,0,2,0.000003929999821,0.9999960661,1,1,GI Specialist 2,1,0,1,0,0
P10Test1_02152019,slide5.4,1,2,0.000004290000106,0.9999957085,1,1,None-GI Specialist 1,2,1,1,0,0
P10Test1_02152019,slide5.4,1,2,0.000004290000106,0.9999957085,1,1,None-GI Specialist 1,2,0,1,0,0
P6Test2_02262019,slide8.10,0,2,0.000004290000106,0.9999957085,1,1,None-GI Specialist 4,2,1,1,0,0
P6Test2_02262019,slide8.10,0,2,0.000004290000106,0.9999957085,1,1,None-GI Specialist 4,2,0,1,0,0
P4Test1_02242019,slide7.7,1,3,0.000004770000032,0.9999952316,1,1,GI Specialist 3,1,1,1,0,0
P4Test1_02242019,slide7.7,1,3,0.000004770000032,0.9999952316,1,1,GI Specialist 3,1,0,1,0,0
P9Test1_02242019,slide7.2,1,1,0.000005360000159,0.9999946356,1,1,Trainee 2,3,1,1,0,0
P9Test1_02242019,slide7.2,1,1,0.000005360000159,0.9999946356,1,1,Trainee 2,3,0,1,0,0
P2Test2_02182019,slide4.7,0,1,0.0000054799998,0.9999945164,1,1,Trainee 3,3,1,1,0,0
P2Test2_02182019,slide4.7,0,1,0.0000054799998,0.9999945164,1,1,Trainee 3,3,0,1,0,0
P1Test2_03082019,slide4.7,0,1,0.00000596000018,0.9999940395,1,1,None-GI Specialist 2,2,1,1,0,0
P1Test2_03082019,slide4.7,0,1,0.00000596000018,0.9999940395,1,1,None-GI Specialist 2,2,0,1,0,0
P9Test1_02242019,slide5.4,1,2,0.000007029999779,0.9999929667,1,1,Trainee 2,3,1,1,0,0
P9Test1_02242019,slide5.4,1,2,0.000007029999779,0.9999929667,1,1,Trainee 2,3,0,1,0,0
P8Test1_02282019,slide5.9,1,2,0.00001299999985,0.9999870062,1,1,GI Specialist 1,1,1,1,0,0
